tag,patterns,percentage,responses
asrama_mahasiswa,78,14.028776978417264,1
bus_schedule,56,10.071942446043165,1
canteen_food,51,9.172661870503598,1
facility_hours,48,8.633093525179856,1
lab_booking,47,8.453237410071942,1
health_services,45,8.093525179856115,1
sks_dan_ipk,35,6.294964028776978,1
layanan_perpustakaan_digital,35,6.294964028776978,1
krs_dan_kartu_rencana_studi,34,6.115107913669065,1
jadwal_kuliah,31,5.575539568345324,1
sport_facilities,25,4.496402877697841,1
kalender_akademik,25,4.496402877697841,1
parking_info,23,4.136690647482014,1
greeting,23,4.136690647482014,1
